id,session_id,start_time,end_time,duration_seconds,alert_triggered,recovery_time,cause
1,session_20251004_154709,2025-10-04 15:47:54.970358,2025-10-04 15:47:55.970358,1.0,1,,distraction
2,session_20251004_154709,2025-10-04 15:47:58.970358,2025-10-04 15:47:59.970358,1.0,1,,distraction
3,session_20251004_154709,2025-10-04 15:48:00.970358,2025-10-04 15:48:01.970358,1.0,0,,distraction
4,session_20251004_160342,2025-10-04 16:03:43.372014,2025-10-04 16:03:44.535001,1.162987,0,,brief_glance
5,session_20251004_160342,2025-10-04 16:03:44.596293,2025-10-04 16:03:44.659493,0.0632,0,,brief_glance
6,session_20251004_160342,2025-10-04 16:03:44.888362,2025-10-04 16:03:44.912837,0.024475,0,,brief_glance
7,session_20251004_160342,2025-10-04 16:03:45.026912,2025-10-04 16:03:45.123240,0.096328,0,,brief_glance
8,session_20251004_160342,2025-10-04 16:03:45.151098,2025-10-04 16:03:45.618074,0.466976,0,,brief_glance
9,session_20251004_160342,2025-10-04 16:03:45.704144,2025-10-04 16:03:45.926498,0.222354,0,,brief_glance
10,session_20251004_160342,2025-10-04 16:03:46.019126,2025-10-04 16:03:46.054159,0.035033,0,,brief_glance
11,session_20251004_160342,2025-10-04 16:03:46.157943,2025-10-04 16:03:52.567802,6.409859,1,,distraction
12,session_20251004_160342,2025-10-04 16:03:52.644578,2025-10-04 16:03:53.402025,0.757447,0,,brief_glance
13,session_20251004_160342,2025-10-04 16:03:53.494838,2025-10-04 16:03:54.595106,1.100268,0,,brief_glance
14,session_20251004_160342,2025-10-04 16:03:54.689207,2025-10-04 16:03:59.762275,5.073068,1,,distraction
15,session_20251004_160342,2025-10-04 16:03:59.824188,2025-10-04 16:04:00.015674,0.191486,0,,brief_glance
16,session_20251004_160342,2025-10-04 16:04:00.066818,2025-10-04 16:04:01.283495,1.216677,0,,brief_glance
17,session_20251004_160342,2025-10-04 16:04:01.381486,2025-10-04 16:04:01.877928,0.496442,0,,brief_glance
18,session_20251004_160342,2025-10-04 16:04:02.046679,2025-10-04 16:04:02.099557,0.052878,0,,brief_glance
19,session_20251004_160342,2025-10-04 16:04:02.158748,2025-10-04 16:04:02.353939,0.195191,0,,brief_glance
20,session_20251004_160342,2025-10-04 16:04:02.414510,2025-10-04 16:04:02.592184,0.177674,0,,brief_glance
21,session_20251004_160342,2025-10-04 16:04:02.677777,2025-10-04 16:04:02.837334,0.159557,0,,brief_glance
22,session_20251004_160342,2025-10-04 16:04:02.887477,2025-10-04 16:04:02.960520,0.073043,0,,brief_glance
23,session_20251004_160342,2025-10-04 16:04:03.060817,2025-10-04 16:04:03.130416,0.069599,0,,brief_glance
24,session_20251004_160342,2025-10-04 16:04:03.183619,2025-10-04 16:04:13.556105,10.372486,1,,distraction
25,session_20251004_160342,2025-10-04 16:04:13.637151,2025-10-04 16:04:14.006502,0.369351,0,,brief_glance
26,session_20251004_160342,2025-10-04 16:04:14.105128,2025-10-04 16:04:14.163482,0.058354,0,,brief_glance
27,session_20251004_160342,2025-10-04 16:04:14.223141,2025-10-04 16:04:14.407097,0.183956,0,,brief_glance
28,session_20251004_160342,2025-10-04 16:04:14.511399,2025-10-04 16:04:14.581275,0.069876,0,,brief_glance
29,session_20251004_160342,2025-10-04 16:04:14.638335,2025-10-04 16:04:16.798917,2.160582,0,,brief_glance
30,session_20251004_160342,2025-10-04 16:04:16.917005,2025-10-04 16:04:16.991814,0.074809,0,,brief_glance
31,session_20251004_160342,2025-10-04 16:04:17.039040,2025-10-04 16:04:17.114410,0.07537,0,,brief_glance
32,session_20251004_160342,2025-10-04 16:04:17.155140,2025-10-04 16:04:35.119883,17.964743,1,,distraction
33,session_20251004_160342,2025-10-04 16:04:35.463528,2025-10-04 16:04:35.643344,0.179816,0,,brief_glance
34,session_20251004_160342,2025-10-04 16:04:35.694533,2025-10-04 16:04:36.351515,0.656982,0,,brief_glance
35,session_20251004_160342,2025-10-04 16:04:38.954693,2025-10-04 16:04:38.988432,0.033739,0,,brief_glance
36,session_20251004_160342,2025-10-04 16:04:39.437051,2025-10-04 16:04:39.469695,0.032644,0,,brief_glance
37,session_20251004_160342,2025-10-04 16:04:39.785999,2025-10-04 16:04:39.856795,0.070796,0,,brief_glance
38,session_20251004_160342,2025-10-04 16:04:39.949415,2025-10-04 16:04:40.035138,0.085723,0,,brief_glance
39,session_20251004_160342,2025-10-04 16:04:40.621038,2025-10-04 16:04:40.672691,0.051653,0,,brief_glance
40,session_20251004_160342,2025-10-04 16:04:40.735058,2025-10-04 16:04:40.805048,0.06999,0,,brief_glance
41,session_20251004_160342,2025-10-04 16:04:40.875047,2025-10-04 16:04:40.910525,0.035478,0,,brief_glance
42,session_20251004_160342,2025-10-04 16:04:40.985178,2025-10-04 16:04:41.054005,0.068827,0,,brief_glance
43,session_20251004_160342,2025-10-04 16:04:41.154068,2025-10-04 16:04:41.356854,0.202786,0,,brief_glance
44,session_20251004_160342,2025-10-04 16:04:41.592028,2025-10-04 16:04:41.645114,0.053086,0,,brief_glance
45,session_20251004_160342,2025-10-04 16:04:42.717403,2025-10-04 16:04:42.911705,0.194302,0,,brief_glance
46,session_20251004_160342,2025-10-04 16:04:42.959674,2025-10-04 16:04:43.147788,0.188114,0,,brief_glance
47,session_20251004_160342,2025-10-04 16:04:43.208820,2025-10-04 16:04:43.274780,0.06596,0,,brief_glance
48,session_20251004_160342,2025-10-04 16:04:43.314572,2025-10-04 16:04:43.862828,0.548256,0,,brief_glance
49,session_20251004_160342,2025-10-04 16:04:43.927722,2025-10-04 16:04:45.288665,1.360943,0,,session_end
50,session_20251004_181444,2025-10-04 18:14:45.044569,2025-10-04 18:14:48.067845,3.023276,0,,distraction
51,session_20251004_181444,2025-10-04 18:14:48.135234,2025-10-04 18:14:48.193537,0.058303,0,,brief_glance
52,session_20251004_181444,2025-10-04 18:14:48.270193,2025-10-04 18:14:48.293475,0.023282,0,,brief_glance
53,session_20251004_181444,2025-10-04 18:14:56.998982,2025-10-04 18:15:01.619527,4.620545,0,,distraction
54,session_20251004_181444,2025-10-04 18:15:03.000831,2025-10-04 18:15:05.076216,2.075385,0,,brief_glance
55,session_20251018_131057,2025-10-18 13:11:01.734627,2025-10-18 13:11:02.040652,0.306025,0,,brief_glance
56,session_20251018_131057,2025-10-18 13:11:02.347026,2025-10-18 13:11:02.373662,0.026636,0,,brief_glance
57,session_20251018_131057,2025-10-18 13:11:02.919702,2025-10-18 13:11:02.966788,0.047086,0,,brief_glance
58,session_20251018_131057,2025-10-18 13:11:03.320213,2025-10-18 13:11:03.540502,0.220289,0,,brief_glance
59,session_20251018_131057,2025-10-18 13:11:03.572990,2025-10-18 13:11:05.656695,2.083705,0,,brief_glance
60,session_20251018_131057,2025-10-18 13:11:05.692229,2025-10-18 13:11:05.768148,0.075919,0,,brief_glance
61,session_20251018_131057,2025-10-18 13:11:08.536236,2025-10-18 13:11:17.782207,9.245971,1,,distraction
62,session_20251018_132935,2025-10-18 13:29:41.288005,2025-10-18 13:29:41.545412,0.257407,0,,brief_glance
63,session_20251018_132935,2025-10-18 13:29:42.047219,2025-10-18 13:29:42.789237,0.742018,0,,brief_glance
64,session_20251018_132935,2025-10-18 13:29:42.900027,2025-10-18 13:29:43.546778,0.646751,0,,brief_glance
